Type,Number,Entry,Exit,Infant vocalizations,Parent vocalizations,Vocalizations,Referent,sound,Others,Duration
E,66,313.04,313.04,,Parent vocalizes,哞~,,,,0.04
E,67,314.88,314.88,,Parent vocalizes,额~,,,,0.04
E,68,316.44,316.44,,Parent vocalizes,嗯，是不是呀？啊？再来钦一下来,,,,0.04
E,69,324.2,324.2,,Parent vocalizes,_呀，这个响了,,,,0.04
E,70,326.12,326.12,,Parent vocalizes,（听不清）你看这个叫了,,,,0.04
E,71,328.4,328.4,,Parent vocalizes,那是一只奶牛,,,,0.04
E,72,334.96,334.96,,Parent vocalizes,乐乐，你不让牛牛陪你一会儿啊，你钦一下来,,,,0.04
E,73,341.12,341.12,,Parent vocalizes,牛牛，叫一声,,,,0.04
E,74,343.2,343.2,,Parent vocalizes,哞~,,,,0.04
E,75,349.96,349.96,Infant vocalizes,,额~~,,,,0.04
E,76,351.56,351.56,,Parent vocalizes,哦，你学牛牛叫呢吗？,,,,0.04
E,77,355.8,355.8,,Parent vocalizes,还是牛牛学你叫呢乐乐,,,,0.04
E,78,366.68,366.68,,Parent vocalizes,这是什么？,,,,0.04
E,79,370.12,370.12,,Parent vocalizes,这是小老虎,,,,0.04
E,80,375.32,375.32,,Parent vocalizes,你还记得我们家那本书里面的老虎吗？,,,,0.04
E,81,377.88,377.88,Infant vocalizes,,嗯,,,,0.04
E,82,379.36,379.36,,Parent vocalizes,哦,,,,0.04
E,83,380.6,380.6,Infant vocalizes,,嗯,,,,0.04
E,84,382.6,382.6,,Parent vocalizes,_，小老虎怎么叫啊？,,,,0.04
E,85,386.24,386.24,,Parent vocalizes,爸爸帮你学过的,,,,0.04
E,86,388.6,388.6,,Parent vocalizes,吼~吼~,,,,0.04
E,87,398.44,398.44,Infant vocalizes,,嗯~,,,,0.04
E,88,399.2,399.2,,Parent vocalizes,乐乐，像不像，它像不像猫啊？,,,,0.04
E,89,403.96,403.96,,Parent vocalizes,小猫像不像？啊？,,,,0.04
E,90,407.56,407.56,,Parent vocalizes,颜色不像是不是啊？,,,,0.04
E,91,410.36,410.36,,Parent vocalizes,乐乐，乐乐宝宝？,,,,0.04
E,92,414.44,414.44,,Parent vocalizes,乐乐,,,,0.04
E,93,416.4,416.4,,Parent vocalizes,你喜欢不喜欢它呀？,,,,0.04
E,94,419.28,419.28,,Parent vocalizes,嗯？,,,,0.04
E,95,420.36,420.36,,Parent vocalizes,你就不害怕家里那只老虎了是不是呀？嗯？,,,,0.04
E,96,426,426,,Parent vocalizes,哦呜~~,,,,0.04
E,97,427.72,427.72,,Parent vocalizes,乐乐，牛牛怎么叫啊？,,,,0.04
E,98,430.6,430.6,,Parent vocalizes,牛牛怎么叫？,,,,0.04
E,99,432.16,432.16,,Parent vocalizes,刚才你钦过的呀,,,,0.04
E,100,434.96,434.96,Infant vocalizes,,哦~~唔耶,,,,0.04
E,101,437.64,437.64,,Parent vocalizes,哦~~哦~~,,,,0.04
E,102,447.48,447.48,,Parent vocalizes,_，乐乐,,,,0.04
E,103,450.56,450.56,,Parent vocalizes,给你一个虫虫了,,,,0.04
E,104,455.92,455.92,,Parent vocalizes,快，把虫虫给爸爸抓过来,,,,0.04
E,105,458.88,458.88,,Parent vocalizes,快来,,,,0.04
E,106,461.24,461.24,,Parent vocalizes,乐乐，把虫虫给爸爸,,,,0.04
E,107,465.2,465.2,Infant vocalizes,,啊,,,,0.04
E,108,466.24,466.24,,Parent vocalizes,嗯，对，给爸爸,,,,0.04
E,109,470.6,470.6,,Parent vocalizes,好啦，把那给爸爸,,,,0.04
E,110,472.76,472.76,,Parent vocalizes,_，好。谢谢乐乐啊！,,,,0.04
E,111,477,477,,Parent vocalizes,爸爸给你上紧发条啊，看着。,,,,0.04
E,112,482,482,,Parent vocalizes,虫虫过去了,,,,0.04
E,113,484.2,484.2,,Parent vocalizes,跑了，虫虫跑掉了,,,,0.04
E,114,487.68,487.68,,Parent vocalizes,快，把它追回来，快去,,,,0.04
E,115,495,495,,Parent vocalizes,快，乐乐，把它追过来,,,,0.04
E,116,498.2,498.2,,Parent vocalizes,快去嘛，在那,,,,0.04
E,117,501.16,501.16,Infant vocalizes,,耶,,,,0.04
E,118,504.44,504.44,,Parent vocalizes,怎么了，快把它捡回来嘛,,,,0.04
E,119,509,509,,Parent vocalizes,把虫虫捡回来，喏，它在那里，快去,,,,0.04
E,120,515.44,515.44,,Parent vocalizes,哎哟，去嘛,,,,0.04
E,121,519.08,519.08,Infant vocalizes,,嗯,,,,0.04
E,122,522.52,522.52,,Parent vocalizes,走走走走，一起去，一起去,,,,0.04
E,123,526,526,,Parent vocalizes,去嘛,,,,0.04
E,124,528.48,528.48,,Parent vocalizes,嗯？,,,,0.04
E,125,537.16,537.16,Infant vocalizes,,嗯,,,,0.04
E,126,537.44,537.44,,Parent vocalizes,嗯,,,,0.04
E,127,543.04,543.04,,Parent vocalizes,来，抓住它虫虫，别让它跑了，_，好,,,,0.04
E,128,550.72,550.72,,Parent vocalizes,好，给爸爸，爸爸给你上发条,,,,0.04
E,129,553.56,553.56,,Parent vocalizes,你再过来一点啊，爸爸够不到啊,,,,0.04
E,130,556,556,Infant vocalizes,,,,,,0.04
E,131,557.08,557.08,,Parent vocalizes,_，你没，你给我呀，虫虫跑到哪里去了呀,,,,0.04
E,132,562.24,562.24,,Parent vocalizes,嗯？,,,,0.04
E,133,564.84,564.84,,Parent vocalizes,啊，给这个给爸爸呀,,,,0.04
E,134,569.04,569.04,,Parent vocalizes,这个故事叫什么名字呀乐乐？,,,,0.04
E,135,572.76,572.76,,Parent vocalizes,叫《你看见了我的小狗吗？》,,,,0.04
E,136,588.36,588.36,,Parent vocalizes,乐乐，刚才让你给猜着了，火车，还有它的轨道,,,,0.04
E,137,592.72,592.72,Infant vocalizes,,啊,,,,0.04
E,138,594.4,594.4,,Parent vocalizes,哎,,,,0.04
E,139,599.4,599.4,,Parent vocalizes,那还有个火车，黑色的那个，乐乐把那个车车给爸爸,,,,0.04
E,140,605.72,605.72,,Parent vocalizes,把那个车车给爸爸，对。,,,,0.04
E,141,608.4,608.4,,Parent vocalizes,那个车车。对黑色的，对，给爸爸。,,,,0.04
E,142,612.52,612.52,,parent vocalization,_，好。谢谢乐乐！,,,,0.04
T,2,0,0,ZBZJ07-no condition shift,0.04,"Video: ""L:\Studies\Mandarin walking\Videos\Videos\20141219-ZBZJ-07\20141219-ZBZJ07-freeplay-C1.MTS""<BR>",,,,
E,1,0,0,,,,Mom,,,0.04
E,2,0.28,0.28,,Parent vocalizes,给它加点油它就动了对吧，是吧,,,,0.04
E,3,10.2,10.2,,Parent vocalizes,来，我们来让它跑，让小车跑起来好吧,,,,0.04
E,4,12.64,12.64,,Parent vocalizes,,,,,0.04
E,5,14.4,14.4,,Parent vocalizes,怎么让它跑呀？给它加点油，对吧,,,,0.04
E,6,18.2,18.2,,Parent vocalizes,哦跑过来咯跑过来咯,,,,0.04
E,7,22.56,22.56,,Parent vocalizes,哎呀，它的脚在动耶，动啊动转啊转转啊转的,,,,0.04
E,8,28,28,,Parent vocalizes,是哇，转啊转的哇，,,,,0.04
E,9,30.2,30.2,,Parent vocalizes,来，扭扭看，到妈妈这个来，哎西哟，小虫子过来来过来来,,,,0.04
E,10,35.8,35.8,,Parent vocalizes,小虫子过来了过来了,,,,0.04
E,11,39.6,39.6,,Parent vocalizes,唔唔唔唔唔到妈妈这里来了，到妈妈这里来了，在煽动呢，居然到妈妈腿下面去了,,,,0.04
E,12,45.8,45.8,,Parent vocalizes,唔？到哪里去了啊,,,,0.04
E,13,48.88,48.88,,Parent vocalizes,小虫子哪？,,,,0.04
E,14,51.08,51.08,,Parent vocalizes,小虫子哪？,,,,0.04
E,15,54.24,54.24,Infant vocalizes,,啊,,,,0.04
E,16,54.8,54.8,,Parent vocalizes,你不管你的小虫子了啊，你又看上那个大象啦,,,,0.04
E,17,61.64,61.64,,Parent vocalizes,大象,,,,0.04
E,18,63,63,,Parent vocalizes,我们带大象,,,,0.04
E,19,64.8,64.8,,Parent vocalizes,游街去好吧，散步,,,,0.04
E,20,66.52,66.52,,Parent vocalizes,走，大象， 我们带你去散步去咯，走咯，散步去咯，散步散步,,,,0.04
E,21,74.32,74.32,,Parent vocalizes,走，走走走， 带着大象去散步咯,,,,0.04
E,22,80,80,,Parent vocalizes,啊铃铃，对吧， 小铃铃,,,,0.04
E,23,87.36,87.36,,Parent vocalizes,哦这里，还有那么多铃啊，甩一甩，啪啪啪，有声音吗,,,,0.04
E,24,92,92,,Parent vocalizes,甩一甩,,,,0.04
E,25,94,94,,Parent vocalizes,哦？,,,,0.04
E,26,97,97,,Parent vocalizes,叮铃铃，叮铃铃， 对吧,,,,0.04
E,27,103.16,103.16,Infant vocalizes,,嗯哼哼,,,,0.04
E,28,105,105,,Parent vocalizes,力气这么大啊你。呵呵,,,,0.04
E,29,108.2,108.2,Infant vocalizes,,嗯哼,,,,0.04
E,30,109.24,109.24,,Parent vocalizes,啊篮子啊，篮子给妈妈，对吧，这里面都有什么呀,,,,0.04
E,31,113.8,113.8,,Parent vocalizes,一本书,,,,0.04
E,32,117.04,117.04,,Parent vocalizes,有一个铃铛,,,,0.04
E,33,119.4,119.4,,Parent vocalizes,哦铃铛，咦，这个你看,,,,0.04
E,34,123.96,123.96,,Parent vocalizes,这个也有声音的，还是电话,,,,0.04
E,35,127.32,127.32,,Parent vocalizes,咦，这是电话的说，我们可以打电话，喂，喂，来，[name]来，喂，来，接电话,,,,0.04
E,36,138.32,138.32,,Parent vocalizes,哦，打电话啦，喂,,,,0.04
E,37,141.84,141.84,,Parent vocalizes,爸爸，我们在这儿玩哪，给爸爸打个电话,,,,0.04
E,38,148.56,148.56,,Parent vocalizes,爸爸，爸爸，我是超超，你说,,,,0.04
E,39,152.48,152.48,Infant vocalizes,,babbles,,,,0.04
E,40,153.32,153.32,,Parent vocalizes,啊，爸爸，我是超超，我们在外面玩呢，哦给妈妈打啊，哦，哎爸爸，我们在外面啊，等会儿回来啊，超超听，超超跟爸爸说说话,,,,0.04
E,41,168.08,168.08,Infant vocalizes,,babbles,,,,0.04
E,42,171.4,171.4,,Parent vocalizes,哦哦哦，对吧，你跟你爸爸说什么呢，哦哦哦,,,,0.04
E,43,180.2,180.2,Infant vocalizes,,babbles,,,,0.04
E,44,185,185,Infant vocalizes,,哼,,,,0.04
E,45,186.2,186.2,,Parent vocalizes,电话上面有数字_,,,,0.04
E,46,192,192,,Parent vocalizes,喂~~对吧，喂~,,,,0.04
E,47,195.72,195.72,,Parent vocalizes,你看电话上有数字哇，你看电话上有数字，可以拨电话号码的你知道吧，123456789，叮铃铃铃，叮铃铃铃，电话来了，超超接电话，喂~你说,,,,0.04
E,48,214.72,214.72,,Parent vocalizes,喂，我是超超，对哇，请讲话，对哇,,,,0.04
E,49,223.6,223.6,,Parent vocalizes,喂~,,,,0.04
E,50,228.32,228.32,,Parent vocalizes,谁拿着电话接的时候到处跑的啊,,,,0.04
E,51,233.48,233.48,,Parent vocalizes,这电话不能动的啊，要坐着接电话的,,,,0.04
E,52,238.8,238.8,Infant vocalizes,,babbles,,,,0.04
E,53,240,240,,Parent vocalizes,哦， 喂~,,,,0.04
E,54,242.4,242.4,,Parent vocalizes,这是什么呀,,,,0.04
E,55,244.72,244.72,,Parent vocalizes,哦你把它放好啊，放到篮子里啊,,,,0.04
E,56,248,248,Infant vocalizes,,babbles,,,,0.04
E,57,249.28,249.28,,Parent vocalizes,啊书，这个是，这个是书， 对吧,,,,0.04
E,58,252.88,252.88,Infant vocalizes,,babbles,,,,0.04
E,59,253.4,253.4,,Parent vocalizes,啊，书也放好,,,,0.04
E,60,258,258,Infant vocalizes,,"babbles, laughs",,,,0.04
E,61,260.4,260.4,,Parent vocalizes,爸爸还在电话那里啊，你还在打电话啊,,,,0.04
E,62,264.6,264.6,,Parent vocalizes,啊,,,,0.04
E,63,267.4,267.4,,Parent vocalizes,喂~喂~你说,,,,0.04
E,64,281.6,281.6,,Parent vocalizes,小虫动吗，哦，你帮帮它，小虫子不动你推它屁股啊,,,,0.04
E,65,286.4,286.4,Infant vocalizes,,babbles,,,,0.04
E,66,287,287,,Parent vocalizes,屁股让它动对吧,,,,0.04
E,67,289.4,289.4,,Parent vocalizes,哦，喂，喂，大象啊，哦呵呵呵呵，把它放好啊，哦我们超超真的有个好习惯啊对吧，知道自己收拾玩具了对吧，不玩的玩具要放好，放在一起，放在篮子里对吧,,,,0.04
E,68,304.6,304.6,Infant vocalizes,,哎~,,,,0.04
E,69,316.12,316.12,,Parent vocalizes,超超这个电话什么颜色的啊，是不是你喜欢的颜色呀,,,,0.04
E,70,323.68,323.68,,Parent vocalizes,紫色的对吧，这个电话，好看吧，哦这个小虫子也不要啦，小盒子都放好啦,,,,0.04
E,71,331.28,331.28,,Parent vocalizes,最喜欢电话嘛，啊，电话，拿那个电话是吧,,,,0.04
E,72,337,337,Infant vocalizes,,babbles,,,,0.04
E,73,339.64,339.64,,Parent vocalizes,哦哦哦，喂~_，_，_，嘿嘿,,,,0.04
E,74,343,343,Infant vocalizes,,babbles,,,,0.04
E,75,348.68,348.68,,Parent vocalizes,当心啊，当心啊,,,,0.04
E,76,351.4,351.4,Infant vocalizes,,_？,,,,0.04
E,77,352.4,352.4,,Parent vocalizes,_？,,,,0.04
E,78,356.28,356.28,Infant vocalizes,,哎咦,,,,0.04
E,79,368.68,368.68,,Parent vocalizes,你干嘛手里面拿两样东西啊，又是电话又是铃啊,,,,0.04
E,80,374.6,374.6,,Parent vocalizes,做人不能黑心哦,,,,0.04
E,81,376,376,Infant vocalizes,,啊啊~,,,,0.04
E,82,377.92,377.92,,Parent vocalizes,做人要专心致志_,,,,0.04
E,83,381.32,381.32,,Parent vocalizes,做一件事就做一件事，打电话就打电话，打电话怎么还拿着铃在玩哪,,,,0.04
E,84,386.8,386.8,Infant vocalizes,,啊？,,,,0.04
E,85,391,391,,Parent vocalizes,咦，这不是电话，这个不是电话，这个是电话，这是电话，喂，喂,,,,0.04
E,86,399.28,399.28,Infant vocalizes,,嗯！,,,,0.04
E,87,400.32,400.32,,Parent vocalizes,哦，哦喂啊，这个是听啊，这个没有的，这个听不到声音的，这个是电话啊，喂,,,,0.04
E,88,411.72,411.72,,Parent vocalizes,得得得，得得得，跳舞了我们，哒哒哒，哒哒哒，我是卖报的小，小黄狼,,,,0.04
E,89,424.32,424.32,,Parent vocalizes,我有一头小毛驴，我从来也不骑，有一天我起早带它急着去赶集,,,,0.04
E,90,436.88,436.88,Infant vocalizes,,嗯~,,,,0.04
E,91,448,448,Infant vocalizes,,嗯~,,,,0.04
E,92,449.6,449.6,,Parent vocalizes,把电话拿起来了我们，哦，拿过来，给妈妈，让妈妈拨电话号码啊，爸爸的电话是，13621950049，好啦，叮铃铃，好，接电话，超超，喂，爸爸，说我在幼儿园玩那，跟他说，这里有好多玩具那,,,,0.04
E,93,463,463,Infant vocalizes,,babbles,,,,0.04
E,94,480.48,480.48,Infant vocalizes,,babbles,,,,0.04
E,95,480.56,480.56,,Parent vocalizes,我们超超刚刚，连晚饭也吃好了对吧，告诉爸爸,,,,0.04
E,96,483.68,483.68,Infant vocalizes,,babbles,,,,0.04
E,97,486.52,486.52,,Parent vocalizes,哎！,,,,0.04
E,98,492.16,492.16,,Parent vocalizes,当心，当心当心,,,,0.04
E,99,499.56,499.56,,Parent vocalizes,这，这个能推的啊,,,,0.04
E,100,512.04,512.04,,Parent vocalizes,这是什么呀，布，对吧,,,,0.04
E,101,516.52,516.52,,Parent vocalizes,也可以知道可以把它推过去的呀,,,,0.04
E,102,519.6,519.6,Infant vocalizes,,babbles,,,,0.04
E,103,521,521,,Parent vocalizes,还在打电话呀，查那个电话费肯定很贵的,,,,0.04
E,104,525.2,525.2,Infant vocalizes,,babbles,,,,0.04
E,105,527,527,,Parent vocalizes,这什么，大象，对吧，大象，大象，对吧，哎我们来开运动会好不啦，我们有什么呀，看看，有大象，还有一只猪,,,,0.04
E,106,540,540,,Parent vocalizes,我们开运动会了好吧宝宝，看我们来比赛好吧，看谁跑得快，啊这个是起跑线，预备起！跑，将将将将将，都跑了，看谁跑得快，得得得得得得,,,,0.04
E,107,557.2,557.2,,Parent vocalizes,超超跑的最快了，超超跑到最前面去了，得得得得得得得得得，对吧，呵呵呵你也在跑对吧，你也在跑步啊,,,,0.04
E,108,570.8,570.8,,Parent vocalizes,来,,,,0.04
E,109,573.48,573.48,Infant vocalizes,,babbles,,,,0.04
E,110,579.8,579.8,,Parent vocalizes,啊哈，小碎步啊你，你这什么意思啊，,,,,0.04
E,111,594.72,594.72,Infant vocalizes,,babbles,,,,0.04
E,112,595.4,595.4,,Parent vocalizes,哦哦哦，啊哈哈哈哈，喔~喔~,,,,0.04
E,113,604,604,,Parent vocalizes,电话，对哇，电话，有个电话在,,,,0.04
E,114,612.4,612.4,,Parent vocalizes,有个电话,,,,0.04
T,3,0,0,ZBZJ09-no condition shift,0.04,DataSetOffset 00:06:09:00 > 0<BR>,,,,
E,1,0.64,0.64,,,,Mom,,,0.04
E,2,1.4,1.4,,Parent vocalizes,小象，小象，小象鼻子，宝宝鼻子在哪里呀，宝宝的鼻子呢，那是嘴巴，鼻子，鼻子，鼻子，宝宝这个是鼻子,,,,0.04
E,3,15.56,15.56,,Parent vocalizes,月月，月月，月月,,,,0.04
E,4,18.8,18.8,,Parent vocalizes,哦，象宝宝，我们抱抱好吗，抱抱象宝宝，哎呀，象宝宝乖乖,,,,0.04
E,5,25.72,25.72,,Parent vocalizes,鼻子，找妈妈的鼻子在这里，鼻子啊，要妈妈抱抱是吧。嗯~宝宝乖乖，小象宝宝乖乖,,,,0.04
E,6,28.6,28.6,Infant vocalizes,,babbles,,,,0.04
E,7,37,37,,Parent vocalizes,这个球球玩吗，这个球,,,,0.04
E,8,39.8,39.8,Infant vocalizes,,babbles,,,,0.04
E,9,40.8,40.8,,Parent vocalizes,你想要哪个？这个吗？这个吗？,,,,0.04
E,10,48.8,48.8,,Parent vocalizes,还是这个呢,,,,0.04
E,11,54,54,,Parent vocalizes,这个昆虫，还是这本书，还是我们喜欢这个啊，宝宝喜欢吗，我们来开小车哈,,,,0.04
E,12,65,65,,Parent vocalizes,嘟噜，嘟，嘟,,,,0.04
E,13,70.32,70.32,,Parent vocalizes,妈妈来，不要啊，不要啊，那你要什么呀，你要这个小象宝宝,,,,0.04
E,14,81.32,81.32,,Parent vocalizes,哎呀，小象宝宝啊，,,,,0.04
E,15,86,86,,Parent vocalizes,象鼻子，象鼻子，啊，宝宝,,,,0.04
E,16,91.16,91.16,,Parent vocalizes,小象的耳朵在哪里啊,,,,0.04
E,17,94.48,94.48,,Parent vocalizes,耳朵，嗯，这个是小象的耳朵，妈妈的耳朵在哪里，妈妈的耳朵,,,,0.04
E,18,100.4,100.4,,Parent vocalizes,_，妈妈的耳朵，_~,,,,0.04
E,19,105.48,105.48,Infant vocalizes,,babbles,,,,0.04
E,20,106.16,106.16,,Parent vocalizes,耳朵，耳朵,,,,0.04
E,21,108.04,108.04,Infant vocalizes,,babbles,,,,0.04
E,22,109,109,,Parent vocalizes,哦你要这个啊，我来帮你拿，哎哟，有点重_，,,,,0.04
E,23,118.4,118.4,,Parent vocalizes,这个要怎么拿,,,,0.04
E,24,120.2,120.2,,Parent vocalizes,哦~这个也是小象,,,,0.04
E,25,123.52,123.52,,Parent vocalizes,怎么样，把小象拿起来好吗,,,,0.04
E,26,126.4,126.4,,Parent vocalizes,来我来把它跑起来好不好，跑起来好不好，呜，呜，哦，这个是小象，这个也是小象，两个都是小象，,,,,0.04
E,27,141.6,141.6,,Parent vocalizes,嗯，嗯？,,,,0.04
E,28,147.08,147.08,,Parent vocalizes,这个是蘑菇,,,,0.04
E,29,149.8,149.8,,Parent vocalizes,蘑菇,,,,0.04
E,30,151,151,,Parent vocalizes,宝宝拿在这儿，这样拿,,,,0.04
E,31,151,151,Infant vocalizes,,babbles,,,,0.04
E,32,154,154,,Parent vocalizes,手手拿在这儿，_~啾，啾，这样拿,,,,0.04
E,33,164.88,164.88,,Parent vocalizes,过来过来过来,,,,0.04
E,34,167,167,Infant vocalizes,,babbles,,,,0.04
E,35,167.52,167.52,,Parent vocalizes,嗯，给我是吧，到这里来啊，妈妈这里来，,,,,0.04
E,36,172,172,,Parent vocalizes,来来来来来，来来来来，抱抱啊，哎哟喂,,,,0.04
E,37,178.68,178.68,,Parent vocalizes,抱抱呀，抱抱呀,,,,0.04
E,38,180.8,180.8,Infant vocalizes,,babbles,,,,0.04
E,39,182,182,,Parent vocalizes,这个吗,,,,0.04
E,40,185.8,185.8,,Parent vocalizes,小象,,,,0.04
E,41,187.56,187.56,,Parent vocalizes,小象你好,,,,0.04
E,42,188.8,188.8,,Parent vocalizes,你跟它握握手吧，跟小象握握手,,,,0.04
E,43,192.56,192.56,,Parent vocalizes,小象你好你好,,,,0.04
E,44,194.72,194.72,,Parent vocalizes,宝宝你好你好，宝宝我们两个是第一次见面是吗,,,,0.04
E,45,200.28,200.28,Infant vocalizes,,babbles,,,,0.04
E,46,201,201,,Parent vocalizes,嗯~嗯~,,,,0.04
E,47,203.28,203.28,Infant vocalizes,,babbles,,,,0.04
E,48,203.72,203.72,,Parent vocalizes,啊哈哈，妈妈抱抱，妈妈抱抱，嗯~妈妈喜欢小象，妈妈也喜欢宝宝，嗯~我们两个靠靠啊,,,,0.04
E,49,215,215,Infant vocalizes,,babbles,,,,0.04
E,50,215.6,215.6,,Parent vocalizes,嗯~,,,,0.04
E,51,217.8,217.8,Infant vocalizes,,babbles,,,,0.04
E,52,218.36,218.36,,Parent vocalizes,哪个？这个啊,,,,0.04
E,53,221,221,,Parent vocalizes,这个啊,,,,0.04
E,54,225.56,225.56,,Parent vocalizes,这个，走路,,,,0.04
E,55,230.8,230.8,Infant vocalizes,,babbles,,,,0.04
E,56,235,235,,Parent vocalizes,嗯,,,,0.04
E,57,236.2,236.2,,Parent vocalizes,这里还有啊，还有这是什么,,,,0.04
E,58,240.16,240.16,Infant vocalizes,,babbles,,,,0.04
E,59,240.68,240.68,,Parent vocalizes,这是一只小猪,,,,0.04
E,60,243,243,,Parent vocalizes,小猪,,,,0.04
E,61,245.8,245.8,,Parent vocalizes,月月，你好你好,,,,0.04
E,62,249.4,249.4,,Parent vocalizes,猪鼻子,,,,0.04
E,63,252.36,252.36,,Parent vocalizes,猪耳朵,,,,0.04
E,64,254.4,254.4,Infant vocalizes,,babbles,,,,0.04
E,65,255.68,255.68,,Parent vocalizes,这个吗,,,,0.04
E,66,258.4,258.4,,Parent vocalizes,这个吗,,,,0.04
E,67,263.12,263.12,,Parent vocalizes,啦啦啦啦,,,,0.04
E,68,275.88,275.88,Infant vocalizes,,babbles,,,,0.04
E,69,276.4,276.4,,Parent vocalizes,嗯,,,,0.04
